# RC circuit simulation output
 0.490 5.0314 2.06265 0.00296875
 0.500 5 2.09203 0.00290797
 0.510 4.9686 2.12081 0.00284779
 0.520 4.93733 2.14899 0.00278834
 0.530 4.90631 2.17658 0.00272973
 0.540 4.87566 2.20359 0.00267207
 0.550 4.84549 2.23002 0.00261547
 0.560 4.81594 2.2559 0.00256004
 0.570 4.78711 2.28123 0.00250588
 0.580 4.75912 2.30602 0.0024531
 0.590 4.73209 2.3303 0.00240179
 0.600 4.70611 2.35406 0.00235204
 0.610 4.68129 2.37734 0.00230394
 0.620 4.65773 2.40015 0.00225758
 0.630 4.63552 2.4225 0.00221302
 0.640 4.61474 2.44442 0.00217033
 0.650 4.59549 2.46591 0.00212958
 0.660 4.57784 2.48701 0.00209082
 0.670 4.56185 2.50774 0.00205411
 0.680 4.54759 2.5281 0.00201948
 0.690 4.53511 2.54813 0.00198698
 0.700 4.52447 2.56785 0.00195662
 0.710 4.51571 2.58727 0.00192844
 0.720 4.50886 2.60643 0.00190243
 0.730 4.50394 2.62533 0.00187861
 0.740 4.50099 2.64401 0.00185698
 0.750 4.5 2.66248 0.00183752
 0.760 4.50099 2.68076 0.00182022
 0.770 4.50394 2.69889 0.00180505
 0.780 4.50886 2.71687 0.00179199
 0.790 4.51571 2.73473 0.00178097
 0.800 4.52447 2.7525 0.00177197
 0.810 4.53511 2.77018 0.00176493
 0.820 4.54759 2.7878 0.00175978
 0.830 4.56185 2.80538 0.00175646
 0.840 4.57784 2.82294 0.0017549
 0.850 4.59549 2.84049 0.00175501
 0.860 4.61474 2.85804 0.0017567
 0.870 4.63552 2.87562 0.00175989
 0.880 4.65773 2.89325 0.00176448
 0.890 4.68129 2.91092 0.00177037
 0.900 4.70611 2.92866 0.00177745
 0.910 4.73209 2.94647 0.00178562
 0.920 4.75912 2.96437 0.00179475
 0.930 4.78711 2.98237 0.00180474
 0.940 4.81594 3.00047 0.00181547
 0.950 4.84549 3.01868 0.00182681
 0.960 4.87566 3.03701 0.00183865
 0.970 4.90631 3.05545 0.00185085
 0.980 4.93733 3.07403 0.00186331
 0.990 4.9686 3.09272 0.00187588
 1.000 5 3.11154 0.00188846
 1.010 5.0314 3.13049 0.00190091
 1.020 5.06267 3.14956 0.00191311
 1.030 5.09369 3.16875 0.00192494
 1.040 5.12434 3.18806 0.00193629
 1.050 5.15451 3.20747 0.00194703
 1.060 5.18406 3.227 0.00195707
 1.070 5.21289 3.24661 0.00196628
 1.080 5.24088 3.26632 0.00197456
 1.090 5.26791 3.2861 0.00198181
 1.100 5.29389 3.30595 0.00198794
 1.110 5.31871 3.32586 0.00199286
 1.120 5.34227 3.3458 0.00199647
 1.130 5.36448 3.36578 0.0019987
 1.140 5.38526 3.38577 0.00199948
 1.150 5.40451 3.40577 0.00199874
 1.160 5.42216 3.42574 0.00199642
 1.170 5.43815 3.44569 0.00199247
 1.180 5.45241 3.46559 0.00198683
 1.190 5.46489 3.48542 0.00197947
 1.200 5.47553 3.50517 0.00197036
 1.210 5.48429 3.52482 0.00195947
 1.220 5.49114 3.54435 0.00194679
 1.230 5.49606 3.56375 0.00193231
 1.240 5.49901 3.58299 0.00191602
 1.250 5.5 3.60206 0.00189794
 1.260 5.49901 3.62095 0.00187807
 1.270 5.49606 3.63962 0.00185644
 1.280 5.49114 3.65807 0.00183307
 1.290 5.48429 3.67628 0.00180802
 1.300 5.47553 3.69422 0.0017813
 1.310 5.46489 3.7119 0.00175299
 1.320 5.45241 3.72928 0.00172314
 1.330 5.43815 3.74635 0.0016918
 1.340 5.42216 3.76311 0.00165905
 1.350 5.40451 3.77953 0.00162498
 1.360 5.38526 3.7956 0.00158965
 1.370 5.36448 3.81132 0.00155316
 1.380 5.34227 3.82666 0.00151561
 1.390 5.31871 3.84163 0.00147708
 1.400 5.29389 3.8562 0.00143769
 1.410 5.26791 3.87038 0.00139753
 1.420 5.24088 3.88415 0.00135672
 1.430 5.21289 3.89751 0.00131538
 1.440 5.18406 3.91046 0.0012736
 1.450 5.15451 3.92298 0.00123152
 1.460 5.12434 3.93509 0.00118926
 1.470 5.09369 3.94677 0.00114692
 1.480 5.06267 3.95803 0.00110464
 1.490 5.0314 3.96886 0.00106253
 1.500 5 3.97928 0.00102072
 1.510 4.9686 3.98928 0.000979327
 1.520 4.93733 3.99887 0.000938467
 1.530 4.90631 4.00805 0.00089826
 1.540 4.87566 4.01683 0.000858821
 1.550 4.84549 4.02523 0.000820263
 1.560 4.81594 4.03324 0.000782695
 1.570 4.78711 4.04089 0.000746224
 1.580 4.75912 4.04817 0.000710952
 1.590 4.73209 4.05511 0.000676977
 1.600 4.70611 4.06172 0.000644392
 1.610 4.68129 4.068 0.000613285
 1.620 4.65773 4.07399 0.00058374
 1.630 4.63552 4.07968 0.000555833
 1.640 4.61474 4.08511 0.000529635
 1.650 4.59549 4.09028 0.00050521
 1.660 4.57784 4.09522 0.000482617
 1.670 4.56185 4.09994 0.000461907
 1.680 4.54759 4.10446 0.000443123
 1.690 4.53511 4.10881 0.000426303
 1.700 4.52447 4.113 0.000411475
 1.710 4.51571 4.11705 0.000398663
 1.720 4.50886 4.12098 0.00038788
 1.730 4.50394 4.12481 0.000379133
 1.740 4.50099 4.12857 0.000372421
 1.750 4.5 4.13226 0.000367735
 1.760 4.50099 4.13593 0.000365059
 1.770 4.50394 4.13957 0.00036437
 1.780 4.50886 4.14322 0.000365635
 1.790 4.51571 4.14689 0.000368817
 1.800 4.52447 4.1506 0.000373868
 1.810 4.53511 4.15438 0.000380737
 1.820 4.54759 4.15822 0.000389362
 1.830 4.56185 4.16217 0.000399679
 1.840 4.57784 4.16622 0.000411613
 1.850 4.59549 4.17041 0.000425086
 1.860 4.61474 4.17473 0.000440014
 1.870 4.63552 4.17921 0.000456305
 1.880 4.65773 4.18386 0.000473866
 1.890 4.68129 4.18869 0.000492596
 1.900 4.70611 4.19372 0.000512392
 1.910 4.73209 4.19894 0.000533144
 1.920 4.75912 4.20438 0.000554742
 1.930 4.78711 4.21004 0.000577071
 1.940 4.81594 4.21592 0.000600013
 1.950 4.84549 4.22204 0.00062345
 1.960 4.87566 4.2284 0.00064726
 1.970 4.90631 4.23499 0.000671322
 1.980 4.93733 4.24182 0.000695512
 1.990 4.9686 4.2489 0.000719707
 2.000 5 4.25622 0.000743784
 2.010 5.0314 4.26377 0.000767622
 2.020 5.06267 4.27157 0.0007911
 2.030 5.09369 4.27959 0.000814097
 2.040 5.12434 4.28785 0.000836498
 2.050 5.15451 4.29632 0.000858188
 2.060 5.18406 4.30501 0.000879054
 2.070 5.21289 4.3139 0.000898991
 2.080 5.24088 4.32298 0.000917893
 2.090 5.26791 4.33225 0.00093566
 2.100 5.29389 4.34169 0.000952199
 2.110 5.31871 4.35129 0.000967419
 2.120 5.34227 4.36104 0.000981237
 2.130 5.36448 4.37091 0.000993572
 2.140 5.38526 4.3809 0.00100435
 2.150 5.40451 4.39099 0.00101351
 2.160 5.42216 4.40117 0.001021
 2.170 5.43815 4.41141 0.00102675
 2.180 5.45241 4.4217 0.00103072
 2.190 5.46489 4.43202 0.00103287
 2.200 5.47553 4.44235 0.00103318
 2.210 5.48429 4.45267 0.00103162
 2.220 5.49114 4.46297 0.00102817
 2.230 5.49606 4.47323 0.00102283
 2.240 5.49901 4.48342 0.00101559
 2.250 5.5 4.49354 0.00100646
 2.260 5.49901 4.50355 0.000995466
 2.270 5.49606 4.51344 0.000982618
 2.280 5.49114 4.52319 0.00096795
 2.290 5.48429 4.53279 0.000951499
 2.300 5.47553 4.54222 0.00093331
 2.310 5.46489 4.55145 0.000913435
 2.320 5.45241 4.56048 0.000891932
 2.330 5.43815 4.56929 0.000868867
 2.340 5.42216 4.57785 0.00084431
 2.350 5.40451 4.58617 0.00081834
 2.360 5.38526 4.59422 0.000791041
 2.370 5.36448 4.60198 0.0007625
 2.380 5.34227 4.60946 0.000732811
 2.390 5.31871 4.61664 0.000702075
 2.400 5.29389 4.6235 0.000670392
 2.410 5.26791 4.63004 0.000637871
 2.420 5.24088 4.63626 0.000604621
 2.430 5.21289 4.64213 0.000570757
 2.440 5.18406 4.64767 0.000536393
 2.450 5.15451 4.65286 0.000501649
 2.460 5.12434 4.6577 0.000466644
 2.470 5.09369 4.66219 0.000431499
 2.480 5.06267 4.66633 0.000396336
 2.490 5.0314 4.67012 0.000361276
 2.500 5 4.67356 0.000326443
 2.510 4.9686 4.67665 0.000291956
 2.520 4.93733 4.6794 0.000257935
 2.530 4.90631 4.68181 0.0002245
 2.540 4.87566 4.68389 0.000191765
 2.550 4.84549 4.68565 0.000159844
 2.560 4.81594 4.68709 0.000128847
 2.570 4.78711 4.68823 9.88823e-05
 2.580 4.75912 4.68907 7.00515e-05
 2.590 4.73209 4.68963 4.24535e-05
 2.600 4.70611 4.68993 1.61822e-05
 2.610 4.68129 4.68996 -8.6735e-06
 2.620 4.65773 4.68976 -3.20303e-05
 2.630 4.63552 4.68933 -5.38105e-05
 2.640 4.61474 4.68869 -7.39426e-05
 2.650 4.59549 4.68785 -9.23615e-05
 2.660 4.57784 4.68684 -0.000109009
 2.670 4.56185 4.68568 -0.000123832
 2.680 4.54759 4.68437 -0.000136788
 2.690 4.53511 4.68295 -0.000147838
 2.700 4.52447 4.68142 -0.000156952
 2.710 4.51571 4.67982 -0.000164109
 2.720 4.50886 4.67815 -0.000169292
 2.730 4.50394 4.67644 -0.000172495
 2.740 4.50099 4.67471 -0.000173718
 2.750 4.5 4.67297 -0.00017297
 2.760 4.50099 4.67125 -0.000170266
 2.770 4.50394 4.66957 -0.000165628
 2.780 4.50886 4.66795 -0.00015909
 2.790 4.51571 4.6664 -0.000150687
 2.800 4.52447 4.66494 -0.000140467
 2.810 4.53511 4.66359 -0.00012848
 2.820 4.54759 4.66237 -0.000114788
 2.830 4.56185 4.6613 -9.94551e-05
 2.840 4.57784 4.66039 -8.25544e-05
 2.850 4.59549 4.65966 -6.41642e-05
 2.860 4.61474 4.65911 -4.43685e-05
 2.870 4.63552 4.65877 -2.3257e-05
 2.880 4.65773 4.65865 -9.24356e-07
 2.890 4.68129 4.65876 2.25301e-05
 2.900 4.70611 4.6591 4.70026e-05
 2.910 4.73209 4.6597 7.23856e-05
 2.920 4.75912 4.66056 9.8568e-05
 2.930 4.78711 4.66167 0.000125436
 2.940 4.81594 4.66307 0.000152872
 2.950 4.84549 4.66473 0.000180758
 2.960 4.87566 4.66668 0.000208973
 2.970 4.90631 4.66891 0.000237396
 2.980 4.93733 4.67143 0.000265903
 2.990 4.9686 4.67423 0.000294373
 3.000 5 4.67732 0.000322683
 3.010 5.0314 4.68068 0.000350711
 3.020 5.06267 4.68433 0.000378337
 3.030 5.09369 4.68825 0.000405441
 3.040 5.12434 4.69244 0.000431908
 3.050 5.15451 4.69689 0.000457623
 3.060 5.18406 4.70159 0.000482476
 3.070 5.21289 4.70653 0.000506358
 3.080 5.24088 4.71171 0.000529167
 3.090 5.26791 4.71711 0.000550803
 3.100 5.29389 4.72272 0.000571171
 3.110 5.31871 4.72853 0.000590182
 3.120 5.34227 4.73452 0.000607753
 3.130 5.36448 4.74068 0.000623805
 3.140 5.38526 4.74699 0.000638265
 3.150 5.40451 4.75344 0.000651069
 3.160 5.42216 4.76001 0.000662157
 3.170 5.43815 4.76668 0.000671477
 3.180 5.45241 4.77343 0.000678983
 3.190 5.46489 4.78025 0.000684638
 3.200 5.47553 4.78712 0.000688411
 3.210 5.48429 4.79401 0.00069028
 3.220 5.49114 4.80092 0.000690227
 3.230 5.49606 4.80781 0.000688247
 3.240 5.49901 4.81467 0.000684339
 3.250 5.5 4.82149 0.000678509
 3.260 5.49901 4.82824 0.000670775
 3.270 5.49606 4.8349 0.000661158
 3.280 5.49114 4.84146 0.000649688
 3.290 5.48429 4.84789 0.000636404
 3.300 5.47553 4.85418 0.000621351
 3.310 5.46489 4.86031 0.000604579
 3.320 5.45241 4.86626 0.00058615
 3.330 5.43815 4.87203 0.000566127
 3.340 5.42216 4.87758 0.000544583
 3.350 5.40451 4.88291 0.000521595
 3.360 5.38526 4.88801 0.000497248
 3.370 5.36448 4.89285 0.00047163
 3.380 5.34227 4.89744 0.000444836
 3.390 5.31871 4.90175 0.000416965
 3.400 5.29389 4.90577 0.000388119
 3.410 5.26791 4.90951 0.000358407
 3.420 5.24088 4.91294 0.000327938
 3.430 5.21289 4.91606 0.000296826
 3.440 5.18406 4.91887 0.000265189
 3.450 5.15451 4.92137 0.000233143
 3.460 5.12434 4.92354 0.000200809
 3.470 5.09369 4.92538 0.000168309
 3.480 5.06267 4.9269 0.000135765
 3.490 5.0314 4.9281 0.000103298
 3.500 5 4.92897 7.10317e-05
 3.510 4.9686 4.92952 3.90862e-05
 3.520 4.93733 4.92975 7.58189e-06
 3.530 4.90631 4.92967 -2.33627e-05
 3.540 4.87566 4.92929 -5.36314e-05
 3.550 4.84549 4.9286 -8.31106e-05
 3.560 4.81594 4.92763 -0.00011169
 3.570 4.78711 4.92637 -0.000139261
 3.580 4.75912 4.92485 -0.000165723
 3.590 4.73209 4.92306 -0.000190975
 3.600 4.70611 4.92103 -0.000214923
 3.610 4.68129 4.91877 -0.000237479
 3.620 4.65773 4.91629 -0.000258559
 3.630 4.63552 4.9136 -0.000278086
 3.640 4.61474 4.91073 -0.000295986
 3.650 4.59549 4.90769 -0.000312196
 3.660 4.57784 4.90449 -0.000326656
 3.670 4.56185 4.90116 -0.000339314
 3.680 4.54759 4.89771 -0.000350125
 3.690 4.53511 4.89416 -0.000359052
 3.700 4.52447 4.89054 -0.000366065
 3.710 4.51571 4.88685 -0.000371141
 3.720 4.50886 4.88312 -0.000374264
 3.730 4.50394 4.87937 -0.000375428
 3.740 4.50099 4.87562 -0.000374632
 3.750 4.5 4.87188 -0.000371884
 3.760 4.50099 4.86819 -0.000367201
 3.770 4.50394 4.86455 -0.000360604
 3.780 4.50886 4.86098 -0.000352125
 3.790 4.51571 4.85751 -0.000341802
 3.800 4.52447 4.85415 -0.00032968
 3.810 4.53511 4.85092 -0.000315811
 3.820 4.54759 4.84784 -0.000300254
 3.830 4.56185 4.84492 -0.000283076
 3.840 4.57784 4.84218 -0.000264348
 3.850 4.59549 4.83964 -0.000244149
 3.860 4.61474 4.83731 -0.000222563
 3.870 4.63552 4.83519 -0.000199678
 3.880 4.65773 4.83332 -0.00017559
 3.890 4.68129 4.83169 -0.000150398
 3.900 4.70611 4.83031 -0.000124205
 3.910 4.73209 4.8292 -9.7118e-05
 3.920 4.75912 4.82837 -6.9249e-05
 3.930 4.78711 4.82782 -4.07115e-05
 3.940 4.81594 4.82756 -1.1622e-05
 3.950 4.84549 4.82759 1.79007e-05
 3.960 4.87566 4.82792 4.77362e-05
 3.970 4.90631 4.82855 7.77631e-05
 3.980 4.93733 4.82947 0.000107859
 3.990 4.9686 4.8307 0.000137902
 4.000 5 4.83223 0.000167768
 4.010 5.0314 4.83406 0.000197338
 4.020 5.06267 4.83618 0.000226489
 4.030 5.09369 4.83859 0.000255105
 4.040 5.12434 4.84128 0.000283068
 4.050 5.15451 4.84424 0.000310264
 4.060 5.18406 4.84748 0.000336583
 4.070 5.21289 4.85097 0.000361917
 4.080 5.24088 4.85471 0.000386163
 4.090 5.26791 4.85869 0.000409221
 4.100 5.29389 4.86289 0.000430998
 4.110 5.31871 4.86731 0.000451405
 4.120 5.34227 4.87192 0.000470356
 4.130 5.36448 4.87671 0.000487775
 4.140 5.38526 4.88167 0.000503589
 4.150 5.40451 4.88678 0.000517733
 4.160 5.42216 4.89202 0.000530147
 4.170 5.43815 4.89737 0.000540781
 4.180 5.45241 4.90283 0.000549587
 4.190 5.46489 4.90836 0.00055653
 4.200 5.47553 4.91395 0.000561578
 4.210 5.48429 4.91958 0.000564708
 4.220 5.49114 4.92524 0.000565906
 4.230 5.49606 4.9309 0.000565162
 4.240 5.49901 4.93653 0.000562479
 4.250 5.5 4.94214 0.000557862
 4.260 5.49901 4.94769 0.000551328
 4.270 5.49606 4.95316 0.000542899
 4.280 5.49114 4.95854 0.000532606
 4.290 5.48429 4.9638 0.000520487
 4.300 5.47553 4.96894 0.000506587
 4.310 5.46489 4.97393 0.000490958
 4.320 5.45241 4.97875 0.000473659
 4.330 5.43815 4.9834 0.000454755
 4.340 5.42216 4.98784 0.000434319
 4.350 5.40451 4.99208 0.000412429
 4.360 5.38526 4.99609 0.000389168
 4.370 5.36448 4.99986 0.000364625
 4.380 5.34227 5.00338 0.000338896
 4.390 5.31871 5.00663 0.000312079
 4.400 5.29389 5.00962 0.000284277
 4.410 5.26791 5.01232 0.000255598
 4.420 5.24088 5.01473 0.000226152
 4.430 5.21289 5.01684 0.000196053
 4.440 5.18406 5.01864 0.000165418
 4.450 5.15451 5.02014 0.000134365
 4.460 5.12434 5.02133 0.000103014
 4.470 5.09369 5.0222 7.14874e-05
 4.480 5.06267 5.02276 3.99064e-05
 4.490 5.0314 5.023 8.39362e-06
 4.500 5 5.02293 -2.29288e-05
 4.510 4.9686 5.02254 -5.39394e-05
 4.520 4.93733 5.02185 -8.4518e-05
 4.530 4.90631 5.02086 -0.000114546
 4.540 4.87566 5.01956 -0.000143908
 4.550 4.84549 5.01798 -0.000172489
 4.560 4.81594 5.01612 -0.000200178
 4.570 4.78711 5.01398 -0.000226869
 4.580 4.75912 5.01158 -0.000252459
 4.590 4.73209 5.00893 -0.000276848
 4.600 4.70611 5.00605 -0.000299942
 4.610 4.68129 5.00294 -0.000321652
 4.620 4.65773 4.99962 -0.000341895
 4.630 4.63552 4.99611 -0.000360592
 4.640 4.61474 4.99241 -0.000377672
 4.650 4.59549 4.98856 -0.000393068
 4.660 4.57784 4.98456 -0.000406723
 4.670 4.56185 4.98043 -0.000418585
 4.680 4.54759 4.97619 -0.000428607
 4.690 4.53511 4.97187 -0.000436754
 4.700 4.52447 4.96747 -0.000442993
 4.710 4.51571 4.96301 -0.000447304
 4.720 4.50886 4.95853 -0.000449669
 4.730 4.50394 4.95403 -0.000450082
 4.740 4.50099 4.94953 -0.000448544
 4.750 4.5 4.94506 -0.000445061
 4.760 4.50099 4.94064 -0.000439649
 4.770 4.50394 4.93627 -0.000432331
 4.780 4.50886 4.932 -0.000423139
 4.790 4.51571 4.92782 -0.000412109
 4.800 4.52447 4.92376 -0.000399287
 4.810 4.53511 4.91984 -0.000384726
 4.820 4.54759 4.91607 -0.000368484
 4.830 4.56185 4.91247 -0.000350627
 4.840 4.57784 4.90906 -0.000331227
 4.850 4.59549 4.90585 -0.000310362
 4.860 4.61474 4.90286 -0.000288117
 4.870 4.63552 4.9001 -0.00026458
 4.880 4.65773 4.89757 -0.000239846
 4.890 4.68129 4.8953 -0.000214014
 4.900 4.70611 4.8933 -0.000187188
 4.910 4.73209 4.89156 -0.000159475
 4.920 4.75912 4.89011 -0.000130985
 4.930 4.78711 4.88894 -0.000101834
 4.940 4.81594 4.88807 -7.2136e-05
 4.950 4.84549 4.8875 -4.20112e-05
 4.960 4.87566 4.88723 -1.15795e-05
 4.970 4.90631 4.88727 1.90376e-05
 4.980 4.93733 4.88762 4.97179e-05
 4.990 4.9686 4.88827 8.03389e-05
 5.000 5 4.88922 0.000110778
 5.010 5.0314 4.89048 0.000140915
 5.020 5.06267 4.89204 0.000170628
 5.030 5.09369 4.89389 0.000199799
 5.040 5.12434 4.89603 0.000228313
 5.050 5.15451 4.89845 0.000256054
 5.060 5.18406 4.90115 0.000282912
 5.070 5.21289 4.90411 0.00030878
 5.080 5.24088 4.90732 0.000333554
 5.090 5.26791 4.91078 0.000357136
 5.100 5.29389 4.91446 0.000379432
 5.110 5.31871 4.91836 0.000400351
 5.120 5.34227 4.92246 0.000419811
 5.130 5.36448 4.92675 0.000437732
 5.140 5.38526 4.93121 0.000454044
 5.150 5.40451 4.93583 0.000468681
 5.160 5.42216 4.94058 0.000481584
 5.170 5.43815 4.94545 0.0004927
 5.180 5.45241 4.95043 0.000501985
 5.190 5.46489 4.95549 0.000509402
 5.200 5.47553 4.96061 0.000514919
 5.210 5.48429 4.96578 0.000518513
 5.220 5.49114 4.97097 0.00052017
 5.230 5.49606 4.97618 0.000519882
 5.240 5.49901 4.98136 0.000517649
 5.250 5.5 4.98652 0.000513478
 5.260 5.49901 4.99163 0.000507386
 5.270 5.49606 4.99666 0.000499394
 5.280 5.49114 5.00161 0.000489534
 5.290 5.48429 5.00645 0.000477844
 5.300 5.47553 5.01116 0.000464368
 5.310 5.46489 5.01573 0.000449159
 5.320 5.45241 5.02014 0.000432276
 5.330 5.43815 5.02437 0.000413784
 5.340 5.42216 5.02841 0.000393755
 5.350 5.40451 5.03224 0.000372269
 5.360 5.38526 5.03585 0.000349407
 5.370 5.36448 5.03922 0.000325261
 5.380 5.34227 5.04235 0.000299923
 5.390 5.31871 5.04522 0.000273493
 5.400 5.29389 5.04782 0.000246075
 5.410 5.26791 5.05014 0.000217776
 5.420 5.24088 5.05217 0.000188707
 5.430 5.21289 5.05391 0.000158981
 5.440 5.18406 5.05535 0.000128714
 5.450 5.15451 5.05648 9.80266e-05
 5.460 5.12434 5.05731 6.70375e-05
 5.470 5.09369 5.05782 3.58686e-05
 5.480 5.06267 5.05802 4.64197e-06
 5.490 5.0314 5.05792 -2.65199e-05
 5.500 5 5.05749 -5.74949e-05
 5.510 4.9686 5.05677 -8.81615e-05
 5.520 4.93733 5.05573 -0.0001184
 5.530 4.90631 5.0544 -0.000148091
 5.540 4.87566 5.05277 -0.000177118
 5.550 4.84549 5.05086 -0.000205369
 5.560 4.81594 5.04867 -0.000232731
 5.570 4.78711 5.04621 -0.000259099
 5.580 4.75912 5.04349 -0.000284368
 5.590 4.73209 5.04053 -0.000308439
 5.600 4.70611 5.03733 -0.000331219
 5.610 4.68129 5.03391 -0.000352618
 5.620 4.65773 5.03028 -0.000372552
 5.630 4.63552 5.02646 -0.000390944
 5.640 4.61474 5.02247 -0.000407722
 5.650 4.59549 5.01831 -0.00042282
 5.660 4.57784 5.01401 -0.000436179
 5.670 4.56185 5.00959 -0.000447747
 5.680 4.54759 5.00507 -0.000457479
 5.690 4.53511 5.00045 -0.000465338
 5.700 4.52447 4.99577 -0.000471294
 5.710 4.51571 4.99103 -0.000475322
 5.720 4.50886 4.98627 -0.000477409
 5.730 4.50394 4.98149 -0.000477546
 5.740 4.50099 4.97672 -0.000475734
 5.750 4.5 4.97198 -0.000471981
 5.760 4.50099 4.96729 -0.000466301
 5.770 4.50394 4.96266 -0.000458719
 5.780 4.50886 4.95812 -0.000449263
 5.790 4.51571 4.95368 -0.000437974
 5.800 4.52447 4.94937 -0.000424894
 5.810 4.53511 4.94519 -0.000410078
 5.820 4.54759 4.94117 -0.000393584
 5.830 4.56185 4.93732 -0.000375477
 5.840 4.57784 4.93367 -0.00035583
 5.850 4.59549 4.93021 -0.00033472
 5.860 4.61474 4.92698 -0.000312233
 5.870 4.63552 4.92397 -0.000288456
 5.880 4.65773 4.92121 -0.000263484
 5.890 4.68129 4.91871 -0.000237418
 5.900 4.70611 4.91647 -0.000210358
 5.910 4.73209 4.9145 -0.000182415
 5.920 4.75912 4.91282 -0.000153697
 5.930 4.78711 4.91143 -0.000124319
 5.940 4.81594 4.91034 -9.43978e-05
 5.950 4.84549 4.90954 -6.40515e-05
 5.960 4.87566 4.90906 -3.34005e-05
 5.970 4.90631 4.90888 -2.56627e-06
 5.980 4.93733 4.909 2.8329e-05
 5.990 4.9686 4.90944 5.91628e-05
 6.000 5 4.91019 8.98129e-05
 6.010 5.0314 4.91124 0.000120158
 6.020 5.06267 4.91259 0.000150078
 6.030 5.09369 4.91424 0.000179454
 6.040 5.12434 4.91618 0.000208169
 6.050 5.15451 4.9184 0.000236111
 6.060 5.18406 4.92089 0.000263167
 6.070 5.21289 4.92366 0.000289232
 6.080 5.24088 4.92668 0.000314201
 6.090 5.26791 4.92994 0.000337976
 6.100 5.29389 4.93343 0.000360461
 6.110 5.31871 4.93714 0.00038157
 6.120 5.34227 4.94106 0.000401216
 6.130 5.36448 4.94516 0.000419323
 6.140 5.38526 4.94944 0.000435818
 6.150 5.40451 4.95387 0.000450636
 6.160 5.42216 4.95845 0.000463718
 6.170 5.43815 4.96314 0.000475012
 6.180 5.45241 4.96794 0.000484474
 6.190 5.46489 4.97282 0.000492064
 6.200 5.47553 4.97777 0.000497753
 6.210 5.48429 4.98277 0.000501519
 6.220 5.49114 4.9878 0.000503345
 6.230 5.49606 4.99283 0.000503224
 6.240 5.49901 4.99786 0.000501157
 6.250 5.5 5.00285 0.00049715
 6.260 5.49901 5.00779 0.00049122
 6.270 5.49606 5.01267 0.000483389
 6.280 5.49114 5.01745 0.000473689
 6.290 5.48429 5.02214 0.000462156
 6.300 5.47553 5.02669 0.000448836
 6.310 5.46489 5.03111 0.000433782
 6.320 5.45241 5.03536 0.000417051
 6.330 5.43815 5.03944 0.000398711
 6.340 5.42216 5.04333 0.000378833
 6.350 5.40451 5.04701 0.000357495
 6.360 5.38526 5.05048 0.00033478
 6.370 5.36448 5.05371 0.000310779
 6.380 5.34227 5.05669 0.000285586
 6.390 5.31871 5.05941 0.000259299
 6.400 5.29389 5.06187 0.000232022
 6.410 5.26791 5.06405 0.000203863
 6.420 5.24088 5.06595 0.000174931
 6.430 5.21289 5.06755 0.000145342
 6.440 5.18406 5.06885 0.000115212
 6.450 5.15451 5.06985 8.46584e-05
 6.460 5.12434 5.07054 5.38024e-05
 6.470 5.09369 5.07093 2.27651e-05
 6.480 5.06267 5.071 -8.33108e-06
 6.490 5.0314 5.07076 -3.93639e-05
 6.500 5 5.07021 -7.0211e-05
 6.510 4.9686 5.06936 -0.000100751
 6.520 4.93733 5.0682 -0.000130864
 6.530 4.90631 5.06674 -0.000160431
