# Lorenz equation output (maxtime=30) 
# Time x1 x2 
  3.18 -5.2719 -6.0727 20.685
  3.19 -5.3563 -6.2427 20.6
  3.20 -5.4491 -6.4191 20.53
  3.21 -5.5502 -6.6013 20.478
  3.22 -5.6592 -6.7888 20.444
  3.23 -5.776 -6.9809 20.429
  3.24 -5.9001 -7.1769 20.434
  3.25 -6.0312 -7.3759 20.459
  3.26 -6.1689 -7.5768 20.505
  3.27 -6.3126 -7.7785 20.574
  3.28 -6.4619 -7.9796 20.665
  3.29 -6.6159 -8.1787 20.778
  3.30 -6.7741 -8.374 20.916
  3.31 -6.9356 -8.5639 21.076
  3.32 -7.0995 -8.7463 21.261
  3.33 -7.2646 -8.9192 21.468
  3.34 -7.43 -9.0804 21.697
  3.35 -7.5943 -9.2276 21.949
  3.36 -7.7562 -9.3585 22.221
  3.37 -7.9143 -9.4708 22.511
  3.38 -8.067 -9.5623 22.819
  3.39 -8.2128 -9.6309 23.14
  3.40 -8.3501 -9.6746 23.474
  3.41 -8.4772 -9.6918 23.816
  3.42 -8.5924 -9.6811 24.163
  3.43 -8.6944 -9.6417 24.512
  3.44 -8.7814 -9.5731 24.858
  3.45 -8.8523 -9.4753 25.197
  3.46 -8.9057 -9.3489 25.526
  3.47 -8.9406 -9.1951 25.84
  3.48 -8.9563 -9.0154 26.136
  3.49 -8.9523 -8.8122 26.409
  3.50 -8.9283 -8.5879 26.656
  3.51 -8.8843 -8.3458 26.875
  3.52 -8.8207 -8.089 27.063
  3.53 -8.7382 -7.8212 27.219
  3.54 -8.6377 -7.546 27.341
  3.55 -8.5203 -7.2671 27.429
  3.56 -8.3875 -6.9879 27.482
  3.57 -8.241 -6.712 27.502
  3.58 -8.0824 -6.4423 27.489
  3.59 -7.9136 -6.1817 27.444
  3.60 -7.7366 -5.9325 27.37
  3.61 -7.5534 -5.6969 27.268
  3.62 -7.366 -5.4764 27.141
  3.63 -7.1762 -5.2724 26.99
  3.64 -6.9858 -5.0856 26.819
  3.65 -6.7967 -4.9167 26.629
  3.66 -6.6103 -4.7659 26.423
  3.67 -6.4282 -4.6333 26.203
  3.68 -6.2517 -4.5185 25.971
  3.69 -6.082 -4.4213 25.729
  3.70 -5.9199 -4.3412 25.48
  3.71 -5.7665 -4.2774 25.225
  3.72 -5.6223 -4.2295 24.965
  3.73 -5.4881 -4.1966 24.702
  3.74 -5.3642 -4.178 24.438
  3.75 -5.2509 -4.1731 24.173
  3.76 -5.1487 -4.1811 23.91
  3.77 -5.0575 -4.2015 23.648
  3.78 -4.9775 -4.2337 23.389
  3.79 -4.9087 -4.277 23.134
  3.80 -4.8511 -4.3312 22.884
  3.81 -4.8047 -4.3956 22.639
  3.82 -4.7693 -4.47 22.401
  3.83 -4.7448 -4.554 22.17
  3.84 -4.7311 -4.6474 21.947
  3.85 -4.728 -4.7499 21.732
  3.86 -4.7354 -4.8614 21.527
  3.87 -4.7531 -4.9816 21.332
  3.88 -4.7811 -5.1104 21.147
  3.89 -4.819 -5.2478 20.975
  3.90 -4.8668 -5.3934 20.814
  3.91 -4.9243 -5.5472 20.667
  3.92 -4.9913 -5.7091 20.534
  3.93 -5.0678 -5.8788 20.416
  3.94 -5.1535 -6.0561 20.314
  3.95 -5.2482 -6.2406 20.228
  3.96 -5.3519 -6.432 20.16
  3.97 -5.4642 -6.6298 20.11
  3.98 -5.5849 -6.8335 20.08
  3.99 -5.7138 -7.0424 20.071
  4.00 -5.8505 -7.2557 20.083
  4.01 -5.9947 -7.4724 20.117
  4.02 -6.1459 -7.6913 20.174
  4.03 -6.3036 -7.9113 20.255
  4.04 -6.4672 -8.1307 20.362
  4.05 -6.6361 -8.348 20.493
  4.06 -6.8093 -8.5613 20.65
  4.07 -6.9861 -8.7685 20.833
  4.08 -7.1654 -8.9674 21.042
  4.09 -7.3461 -9.1556 21.276
  4.10 -7.5269 -9.3305 21.536
  4.11 -7.7064 -9.4896 21.819
  4.12 -7.883 -9.6302 22.125
  4.13 -8.0552 -9.7494 22.451
  4.14 -8.2213 -9.8449 22.797
  4.15 -8.3793 -9.9141 23.157
  4.16 -8.5276 -9.9547 23.531
  4.17 -8.6641 -9.965 23.913
  4.18 -8.7872 -9.9434 24.299
  4.19 -8.8948 -9.889 24.687
  4.20 -8.9854 -9.8013 25.07
  4.21 -9.0575 -9.6806 25.444
  4.22 -9.1097 -9.5278 25.804
  4.23 -9.1408 -9.3442 26.146
  4.24 -9.1501 -9.1322 26.465
  4.25 -9.1371 -8.8945 26.757
  4.26 -9.1016 -8.6344 27.019
  4.27 -9.0438 -8.3556 27.247
  4.28 -8.9642 -8.0622 27.44
  4.29 -8.8637 -7.7584 27.595
  4.30 -8.7436 -7.4485 27.711
  4.31 -8.6053 -7.1367 27.789
  4.32 -8.4505 -6.8271 27.828
  4.33 -8.2813 -6.5234 27.83
  4.34 -8.0996 -6.229 27.796
  4.35 -7.9079 -5.9468 27.728
  4.36 -7.7082 -5.6793 27.628
  4.37 -7.5028 -5.4286 27.499
  4.38 -7.2941 -5.1962 27.344
  4.39 -7.084 -4.9831 27.164
  4.40 -6.8745 -4.79 26.964
  4.41 -6.6676 -4.6173 26.745
  4.42 -6.465 -4.4649 26.511
  4.43 -6.2681 -4.3325 26.263
  4.44 -6.0783 -4.2197 26.004
  4.45 -5.8968 -4.1258 25.736
  4.46 -5.7244 -4.0501 25.462
  4.47 -5.5621 -3.9917 25.182
  4.48 -5.4105 -3.9497 24.899
  4.49 -5.2701 -3.9233 24.614
  4.50 -5.1413 -3.9116 24.329
  4.51 -5.0243 -3.9139 24.044
  4.52 -4.9192 -3.9292 23.76
  4.53 -4.8263 -3.957 23.48
  4.54 -4.7454 -3.9966 23.203
  4.55 -4.6765 -4.0474 22.932
  4.56 -4.6195 -4.109 22.665
  4.57 -4.5743 -4.1808 22.405
  4.58 -4.5408 -4.2627 22.152
  4.59 -4.5186 -4.3542 21.906
  4.60 -4.5078 -4.4551 21.669
  4.61 -4.508 -4.5653 21.441
  4.62 -4.5192 -4.6846 21.223
  4.63 -4.5411 -4.8129 21.016
  4.64 -4.5735 -4.9502 20.82
  4.65 -4.6164 -5.0963 20.636
  4.66 -4.6694 -5.2511 20.465
  4.67 -4.7326 -5.4147 20.308
  4.68 -4.8058 -5.5869 20.166
  4.69 -4.8888 -5.7675 20.039
  4.70 -4.9815 -5.9565 19.929
  4.71 -5.0838 -6.1536 19.836
  4.72 -5.1954 -6.3584 19.761
  4.73 -5.3163 -6.5706 19.706
  4.74 -5.4462 -6.7897 19.672
  4.75 -5.5849 -7.015 19.659
  4.76 -5.7321 -7.2457 19.669
  4.77 -5.8875 -7.4808 19.703
  4.78 -6.0506 -7.7193 19.762
  4.79 -6.2211 -7.9598 19.847
  4.80 -6.3982 -8.2006 19.959
  4.81 -6.5813 -8.4401 20.099
  4.82 -6.7697 -8.6763 20.266
  4.83 -6.9623 -8.9067 20.463
  4.84 -7.1582 -9.129 20.688
  4.85 -7.356 -9.3405 20.942
  4.86 -7.5546 -9.5382 21.224
  4.87 -7.7522 -9.7192 21.534
  4.88 -7.9474 -9.8802 21.869
  4.89 -8.1382 -10.018 22.229
  4.90 -8.3227 -10.13 22.61
  4.91 -8.4989 -10.212 23.01
  4.92 -8.6647 -10.263 23.424
  4.93 -8.8179 -10.28 23.85
  4.94 -8.9563 -10.26 24.281
  4.95 -9.0779 -10.203 24.714
  4.96 -9.1806 -10.108 25.143
  4.97 -9.2627 -9.9744 25.563
  4.98 -9.3225 -9.8042 25.967
  4.99 -9.3586 -9.5988 26.35
  5.00 -9.3702 -9.3605 26.708
  5.01 -9.3566 -9.0927 27.035
  5.02 -9.3174 -8.7993 27.327
  5.03 -9.2531 -8.4847 27.58
  5.04 -9.164 -8.1538 27.793
  5.05 -9.0514 -7.8115 27.962
  5.06 -8.9166 -7.4629 28.088
  5.07 -8.7613 -7.1131 28.17
  5.08 -8.5877 -6.7667 28.208
  5.09 -8.3979 -6.4281 28.204
  5.10 -8.1946 -6.1012 28.16
  5.11 -7.9801 -5.7891 28.079
  5.12 -7.7572 -5.4948 27.962
  5.13 -7.5285 -5.2203 27.814
  5.14 -7.2964 -4.9672 27.637
  5.15 -7.0634 -4.7364 27.434
  5.16 -6.8317 -4.5286 27.21
  5.17 -6.6035 -4.3439 26.966
  5.18 -6.3804 -4.182 26.706
  5.19 -6.1643 -4.0424 26.432
  5.20 -5.9565 -3.9244 26.147
  5.21 -5.7582 -3.8269 25.854
  5.22 -5.5705 -3.7491 25.555
  5.23 -5.3942 -3.6898 25.25
  5.24 -5.2298 -3.6479 24.943
  5.25 -5.0779 -3.6224 24.635
  5.26 -4.9388 -3.6122 24.326
  5.27 -4.8127 -3.6164 24.019
  5.28 -4.6996 -3.6341 23.714
  5.29 -4.5995 -3.6644 23.412
  5.30 -4.5125 -3.7066 23.115
  5.31 -4.4383 -3.7602 22.822
  5.32 -4.3768 -3.8245 22.536
  5.33 -4.3278 -3.8992 22.256
  5.34 -4.291 -3.984 21.983
  5.35 -4.2663 -4.0784 21.719
  5.36 -4.2534 -4.1823 21.463
  5.37 -4.252 -4.2956 21.216
  5.38 -4.262 -4.4181 20.98
  5.39 -4.2832 -4.5499 20.754
  5.40 -4.3153 -4.6909 20.54
  5.41 -4.3582 -4.841 20.337
  5.42 -4.4118 -5.0005 20.148
  5.43 -4.4759 -5.1691 19.973
  5.44 -4.5504 -5.3471 19.812
  5.45 -4.6352 -5.5343 19.667
  5.46 -4.7302 -5.7307 19.539
  5.47 -4.8353 -5.9363 19.428
  5.48 -4.9504 -6.1507 19.336
  5.49 -5.0753 -6.3739 19.264
  5.50 -5.21 -6.6053 19.213
  5.51 -5.3543 -6.8446 19.184
  5.52 -5.508 -7.091 19.179
  5.53 -5.6708 -7.3437 19.199
  5.54 -5.8425 -7.6016 19.245
  5.55 -6.0225 -7.8637 19.318
  5.56 -6.2105 -8.1283 19.419
  5.57 -6.4058 -8.3936 19.551
  5.58 -6.6078 -8.6578 19.713
  5.59 -6.8155 -8.9183 19.907
  5.60 -7.028 -9.1727 20.133
  5.61 -7.2441 -9.418 20.391
  5.62 -7.4623 -9.651 20.681
  5.63 -7.6813 -9.8684 21.004
  5.64 -7.8991 -10.066 21.357
  5.65 -8.114 -10.241 21.739
  5.66 -8.3239 -10.389 22.148
  5.67 -8.5264 -10.507 22.582
  5.68 -8.7192 -10.591 23.036
  5.69 -8.8998 -10.637 23.506
  5.70 -9.0657 -10.643 23.987
  5.71 -9.2144 -10.607 24.474
  5.72 -9.3435 -10.527 24.961
  5.73 -9.4505 -10.404 25.441
  5.74 -9.5335 -10.236 25.907
  5.75 -9.5905 -10.027 26.354
  5.76 -9.6203 -9.7772 26.774
  5.77 -9.6217 -9.4911 27.162
  5.78 -9.5941 -9.1728 27.512
  5.79 -9.5375 -8.8273 27.82
  5.80 -9.4523 -8.4602 28.082
  5.81 -9.3395 -8.0774 28.296
  5.82 -9.2004 -7.6851 28.459
  5.83 -9.0371 -7.2892 28.572
  5.84 -8.8517 -6.8957 28.634
  5.85 -8.6468 -6.5097 28.648
  5.86 -8.4252 -6.1362 28.615
  5.87 -8.19 -5.7792 28.538
  5.88 -7.9441 -5.4421 28.421
  5.89 -7.6906 -5.1275 28.267
  5.90 -7.4324 -4.8375 28.08
  5.91 -7.1725 -4.5732 27.864
  5.92 -6.9134 -4.3353 27.623
  5.93 -6.6577 -4.1238 27.36
  5.94 -6.4074 -3.9384 27.079
  5.95 -6.1645 -3.7784 26.782
  5.96 -5.9307 -3.6427 26.474
  5.97 -5.7073 -3.5302 26.156
  5.98 -5.4956 -3.4397 25.832
  5.99 -5.2964 -3.3696 25.502
  6.00 -5.1104 -3.3186 25.169
  6.01 -4.9382 -3.2855 24.835
  6.02 -4.78 -3.2688 24.501
  6.03 -4.636 -3.2675 24.168
  6.04 -4.5063 -3.2803 23.837
  6.05 -4.3908 -3.3063 23.51
  6.06 -4.2893 -3.3447 23.187
  6.07 -4.2018 -3.3947 22.87
  6.08 -4.1278 -3.4557 22.558
  6.09 -4.0672 -3.527 22.253
  6.10 -4.0197 -3.6084 21.955
  6.11 -3.9849 -3.6996 21.665
  6.12 -3.9625 -3.8002 21.384
  6.13 -3.9523 -3.9101 21.111
  6.14 -3.954 -4.0294 20.848
  6.15 -3.9673 -4.1578 20.596
  6.16 -3.992 -4.2957 20.355
  6.17 -4.028 -4.4428 20.125
  6.18 -4.075 -4.5996 19.908
  6.19 -4.1328 -4.7659 19.704
  6.20 -4.2015 -4.942 19.514
  6.21 -4.2809 -5.1281 19.339
  6.22 -4.371 -5.3242 19.18
  6.23 -4.4716 -5.5304 19.038
  6.24 -4.5827 -5.7468 18.913
  6.25 -4.7044 -5.9734 18.808
  6.26 -4.8365 -6.2099 18.723
  6.27 -4.979 -6.4562 18.66
  6.28 -5.1319 -6.7119 18.62
  6.29 -5.295 -6.9765 18.605
  6.30 -5.4681 -7.2494 18.615
  6.31 -5.6511 -7.5294 18.654
  6.32 -5.8437 -7.8156 18.721
  6.33 -6.0454 -8.1065 18.819
  6.34 -6.2557 -8.4002 18.949
  6.35 -6.474 -8.6948 19.112
  6.36 -6.6996 -8.9878 19.31
  6.37 -6.9313 -9.2764 19.544
  6.38 -7.1682 -9.5575 19.815
  6.39 -7.4087 -9.8274 20.122
  6.40 -7.6513 -10.082 20.466
  6.41 -7.8943 -10.318 20.846
  6.42 -8.1354 -10.53 21.261
  6.43 -8.3725 -10.714 21.708
  6.44 -8.6029 -10.866 22.185
  6.45 -8.8241 -10.98 22.689
  6.46 -9.0331 -11.053 23.214
  6.47 -9.227 -11.08 23.755
  6.48 -9.4028 -11.06 24.306
  6.49 -9.5575 -10.989 24.86
  6.50 -9.6882 -10.867 25.41
  6.51 -9.7923 -10.693 25.947
  6.52 -9.8675 -10.468 26.463
  6.53 -9.9118 -10.195 26.952
  6.54 -9.9238 -9.8786 27.404
  6.55 -9.9026 -9.5225 27.814
  6.56 -9.8478 -9.133 28.176
  6.57 -9.7599 -8.7167 28.484
  6.58 -9.6396 -8.281 28.737
  6.59 -9.4887 -7.8332 28.931
  6.60 -9.3093 -7.3807 29.066
  6.61 -9.104 -6.9308 29.143
  6.62 -8.8757 -6.4898 29.163
  6.63 -8.6279 -6.0637 29.13
  6.64 -8.3641 -5.6575 29.046
  6.65 -8.0878 -5.275 28.916
  6.66 -7.8027 -4.9195 28.744
  6.67 -7.5123 -4.5929 28.535
  6.68 -7.2199 -4.2967 28.294
  6.69 -6.9287 -4.0314 28.025
  6.70 -6.6414 -3.7968 27.733
  6.71 -6.3605 -3.5921 27.422
  6.72 -6.0884 -3.4164 27.094
  6.73 -5.8267 -3.2683 26.755
  6.74 -5.5771 -3.146 26.406
  6.75 -5.3409 -3.0479 26.05
