# TOPENI --- model regulace ohøívání
# Time   temp
11.00    4.00346 1
11.10    4.06228 1
11.20    4.1213 1
11.30    4.18053 1
11.40    4.23997 1
11.50    4.29961 1
11.60    4.35944 1
11.70    4.41947 1
11.80    4.47969 1
11.90    4.5401 1
12.00    4.60069 1
12.10    4.66145 1
12.20    4.7224 1
12.30    4.78352 1
12.40    4.84481 1
12.50    4.90626 1
12.60    4.96788 1
12.70    5.02966 1
12.80    5.09159 1
12.90    5.15368 1
13.00    5.21592 1
13.10    5.27831 1
13.20    5.34085 1
13.30    5.40352 1
13.40    5.46633 1
13.50    5.52928 1
13.60    5.59237 1
13.70    5.65558 1
13.80    5.71892 1
13.90    5.78239 1
14.00    5.84598 1
14.10    5.90969 1
14.20    5.97351 1
14.30    6.03745 1
14.40    6.1015 1
14.50    6.16566 1
14.60    6.22992 1
14.70    6.29429 1
14.80    6.35876 1
14.90    6.42332 1
15.00    6.48799 1
15.10    6.55275 1
15.20    6.61759 1
15.30    6.68253 1
15.40    6.74756 1
15.50    6.81266 1
15.60    6.87786 1
15.70    6.94313 1
15.80    7.00847 1
15.90    7.0739 1
16.00    7.13939 1
16.10    7.20496 1
16.20    7.27059 1
16.30    7.3363 1
16.40    7.40206 1
16.50    7.46789 1
16.60    7.53378 1
16.70    7.59973 1
16.80    7.66573 1
16.90    7.73179 1
17.00    7.7979 1
17.10    7.86406 1
17.20    7.93027 1
17.30    7.99652 1
17.40    8.06283 1
17.50    8.12917 1
17.60    8.19555 1
17.70    8.26198 1
17.80    8.32844 1
17.90    8.39493 1
18.00    8.46147 1
18.10    8.52803 1
18.20    8.59462 1
18.30    8.66124 1
18.40    8.72789 1
18.50    8.79457 1
18.60    8.86127 1
18.70    8.92799 1
18.80    8.99473 1
18.90    9.06107 0
19.00    9.12644 0
19.10    9.19085 0
19.20    9.2543 0
19.30    9.31682 0
19.40    9.37841 0
19.50    9.43907 0
19.60    9.49883 0
19.70    9.55768 0
19.80    9.61564 0
19.90    9.67271 0
20.00    9.72892 0
20.10    9.78426 0
20.20    9.83874 0
20.30    9.89238 0
20.40    9.94519 0
20.50    9.99716 0
20.60    10.0483 0
20.70    10.0987 0
20.80    10.1482 0
20.90    10.197 0
21.00    10.2449 0
21.10    10.2921 0
21.20    10.3386 0
21.30    10.3842 0
21.40    10.4291 0
21.50    10.4733 0
21.60    10.5167 0
21.70    10.5595 0
21.80    10.6014 0
21.90    10.6427 0
22.00    10.6833 0
22.10    10.7232 0
22.20    10.7624 0
22.30    10.8009 0
22.40    10.8387 0
22.50    10.8759 0
22.60    10.9124 0
22.70    10.9482 0
22.80    10.9835 0
22.90    11.018 0
23.00    11.052 0
23.10    11.0853 0
23.20    11.118 0
23.30    11.1501 0
23.40    11.1815 0
23.50    11.2124 0
23.60    11.2427 0
23.70    11.2724 0
23.80    11.3016 0
23.90    11.3301 0
24.00    11.3581 0
24.10    11.3855 0
24.20    11.4124 0
24.30    11.4388 0
24.40    11.4645 0
24.50    11.4898 0
24.60    11.5145 0
24.70    11.5387 0
24.80    11.5624 0
24.90    11.5856 0
25.00    11.6082 0
25.10    11.6304 0
25.20    11.6521 0
25.30    11.6732 0
25.40    11.6939 0
25.50    11.7141 0
25.60    11.7339 0
25.70    11.7532 0
25.80    11.772 0
25.90    11.7903 0
26.00    11.8082 0
26.10    11.8257 0
26.20    11.8427 0
26.30    11.8592 0
26.40    11.8754 0
26.50    11.8911 0
26.60    11.9063 0
26.70    11.9212 0
26.80    11.9356 0
26.90    11.9497 0
27.00    11.9633 0
27.10    11.9765 0
27.20    11.9894 0
27.30    12.0018 0
27.40    12.0139 0
27.50    12.0256 0
27.60    12.0368 0
27.70    12.0478 0
27.80    12.0583 0
27.90    12.0685 0
28.00    12.0783 0
28.10    12.0878 0
28.20    12.0969 0
28.30    12.1057 0
28.40    12.1141 0
28.50    12.1222 0
28.60    12.1299 0
28.70    12.1373 0
28.80    12.1444 0
28.90    12.1512 0
29.00    12.1576 0
29.10    12.1637 0
29.20    12.1695 0
29.30    12.175 0
29.40    12.1802 0
29.50    12.185 0
29.60    12.1896 0
29.70    12.1939 0
29.80    12.1979 0
29.90    12.2016 0
30.00    12.205 0
30.10    12.2081 0
30.20    12.2109 0
30.30    12.2135 0
30.40    12.2158 0
30.50    12.2178 0
30.60    12.2196 0
30.70    12.2211 0
30.80    12.2223 0
30.90    12.2233 0
31.00    12.224 0
31.10    12.2245 0
31.20    12.2247 0
31.30    12.2247 0
31.40    12.2244 0
31.50    12.2239 0
31.60    12.2231 0
31.70    12.2222 0
31.80    12.221 0
31.90    12.2195 0
32.00    12.2178 0
32.10    12.216 0
32.20    12.2139 0
32.30    12.2115 0
32.40    12.209 0
32.50    12.2062 0
32.60    12.2033 0
32.70    12.2001 0
32.80    12.1967 0
32.90    12.1931 0
33.00    12.1894 0
33.10    12.1854 0
33.20    12.1812 0
33.30    12.1769 0
33.40    12.1723 0
33.50    12.1676 0
33.60    12.1626 0
33.70    12.1575 0
33.80    12.1522 0
33.90    12.1468 0
34.00    12.1411 0
34.10    12.1353 0
34.20    12.1293 0
34.30    12.1232 0
34.40    12.1168 0
34.50    12.1103 0
34.60    12.1037 0
34.70    12.0969 0
34.80    12.0899 0
34.90    12.0828 0
35.00    12.0755 0
35.10    12.068 0
35.20    12.0604 0
35.30    12.0527 0
35.40    12.0448 0
35.50    12.0368 0
35.60    12.0286 0
35.70    12.0203 0
35.80    12.0118 0
35.90    12.0032 0
36.00    11.9945 0
36.10    11.9856 0
36.20    11.9766 0
36.30    11.9675 0
36.40    11.9582 0
36.50    11.9488 0
36.60    11.9393 0
36.70    11.9297 0
36.80    11.9199 0
36.90    11.9101 0
37.00    11.9001 0
37.10    11.8899 0
37.20    11.8797 0
37.30    11.8694 0
37.40    11.8589 0
37.50    11.8483 0
37.60    11.8377 0
37.70    11.8269 0
37.80    11.816 0
37.90    11.805 0
38.00    11.7939 0
38.10    11.7827 0
38.20    11.7714 0
38.30    11.76 0
38.40    11.7485 0
38.50    11.7369 0
38.60    11.7252 0
38.70    11.7134 0
38.80    11.7015 0
38.90    11.6896 0
39.00    11.6775 0
39.10    11.6653 0
39.20    11.6531 0
39.30    11.6408 0
39.40    11.6284 0
39.50    11.6159 0
39.60    11.6033 0
39.70    11.5907 0
39.80    11.5779 0
39.90    11.5651 0
40.00    11.5523 0
40.10    11.5393 0
40.20    11.5263 0
40.30    11.5131 0
40.40    11.5 0
40.50    11.4867 0
40.60    11.4734 0
40.70    11.46 0
40.80    11.4465 0
40.90    11.433 0
41.00    11.4194 0
41.10    11.4058 0
41.20    11.392 0
41.30    11.3782 0
41.40    11.3644 0
41.50    11.3505 0
41.60    11.3365 0
41.70    11.3225 0
41.80    11.3084 0
41.90    11.2943 0
42.00    11.2801 0
42.10    11.2658 0
42.20    11.2515 0
42.30    11.2372 0
42.40    11.2227 0
42.50    11.2083 0
42.60    11.1938 0
42.70    11.1792 0
42.80    11.1646 0
42.90    11.1499 0
43.00    11.1352 0
43.10    11.1205 0
43.20    11.1057 0
43.30    11.0908 0
43.40    11.076 0
43.50    11.061 0
43.60    11.0461 0
43.70    11.0311 0
43.80    11.016 0
43.90    11.0009 0
44.00    10.9858 0
44.10    10.9706 0
44.20    10.9554 0
44.30    10.9402 0
44.40    10.9249 0
44.50    10.9096 0
44.60    10.8943 0
44.70    10.8789 0
44.80    10.8635 0
44.90    10.848 0
45.00    10.8325 0
45.10    10.817 0
45.20    10.8015 0
45.30    10.7859 0
45.40    10.7703 0
45.50    10.7547 0
45.60    10.7391 0
45.70    10.7234 0
45.80    10.7077 0
45.90    10.692 0
46.00    10.6762 0
46.10    10.6604 0
46.20    10.6446 0
46.30    10.6288 0
46.40    10.613 0
46.50    10.5971 0
46.60    10.5812 0
46.70    10.5653 0
46.80    10.5494 0
46.90    10.5334 0
47.00    10.5175 0
47.10    10.5015 0
47.20    10.4855 0
47.30    10.4694 0
47.40    10.4534 0
47.50    10.4373 0
47.60    10.4213 0
47.70    10.4052 0
47.80    10.3891 0
47.90    10.373 0
48.00    10.3568 0
48.10    10.3407 0
48.20    10.3245 0
48.30    10.3083 0
48.40    10.2922 0
48.50    10.276 0
48.60    10.2598 0
48.70    10.2435 0
48.80    10.2273 0
48.90    10.2111 0
49.00    10.1948 0
49.10    10.1786 0
49.20    10.1623 0
49.30    10.146 0
49.40    10.1298 0
49.50    10.1135 0
49.60    10.0972 0
49.70    10.0809 0
49.80    10.0646 0
49.90    10.0483 0
50.00    10.032 0
50.10    10.0156 0
50.20    9.99931 0
50.30    9.98298 0
50.40    9.96665 0
50.50    9.95031 0
50.60    9.93397 0
50.70    9.91763 0
50.80    9.90129 0
50.90    9.88494 0
51.00    9.86859 0
51.10    9.85224 0
51.20    9.83589 0
51.30    9.81954 0
51.40    9.80319 0
51.50    9.78684 0
51.60    9.77049 0
51.70    9.75414 0
51.80    9.7378 0
51.90    9.72145 0
52.00    9.70511 0
52.10    9.68876 0
52.20    9.67242 0
52.30    9.65609 0
52.40    9.63975 0
52.50    9.62342 0
52.60    9.60709 0
52.70    9.59077 0
52.80    9.57445 0
52.90    9.55813 0
53.00    9.54182 0
53.10    9.52551 0
53.20    9.50921 0
53.30    9.49291 0
53.40    9.47662 0
53.50    9.46034 0
53.60    9.44406 0
53.70    9.42779 0
53.80    9.41153 0
53.90    9.39527 0
54.00    9.37902 0
54.10    9.36277 0
54.20    9.34654 0
54.30    9.33031 0
54.40    9.31409 0
54.50    9.29788 0
54.60    9.28167 0
54.70    9.26548 0
54.80    9.24929 0
54.90    9.23312 0
55.00    9.21695 0
55.10    9.20079 0
55.20    9.18464 0
55.30    9.16851 0
55.40    9.15238 0
55.50    9.13626 0
55.60    9.12016 0
55.70    9.10406 0
55.80    9.08798 0
55.90    9.0719 0
56.00    9.05584 0
56.10    9.03979 0
56.20    9.02375 0
56.30    9.00773 0
56.40    8.99184 1
56.50    8.97685 1
56.60    8.96286 1
56.70    8.94984 1
56.80    8.9378 1
56.90    8.92672 1
57.00    8.91658 1
57.10    8.90739 1
57.20    8.89912 1
57.30    8.89176 1
57.40    8.88531 1
57.50    8.87976 1
57.60    8.87509 1
57.70    8.87129 1
57.80    8.86835 1
57.90    8.86627 1
58.00    8.86503 1
58.10    8.86463 1
58.20    8.86504 1
58.30    8.86627 1
58.40    8.8683 1
58.50    8.87113 1
58.60    8.87474 1
58.70    8.87912 1
58.80    8.88427 1
58.90    8.89017 1
59.00    8.89683 1
59.10    8.90422 1
59.20    8.91233 1
59.30    8.92117 1
59.40    8.93072 1
59.50    8.94097 1
59.60    8.95192 1
59.70    8.96355 1
59.80    8.97586 1
59.90    8.98884 1
60.00    9.00246 0
60.10    9.01608 0
60.20    9.02935 0
60.30    9.04229 0
60.40    9.05489 0
60.50    9.06716 0
60.60    9.0791 0
60.70    9.09073 0
60.80    9.10203 0
60.90    9.11302 0
61.00    9.12369 0
61.10    9.13406 0
61.20    9.14412 0
61.30    9.15388 0
61.40    9.16334 0
61.50    9.1725 0
61.60    9.18138 0
61.70    9.18996 0
61.80    9.19826 0
61.90    9.20628 0
62.00    9.21402 0
62.10    9.22148 0
62.20    9.22868 0
62.30    9.2356 0
62.40    9.24226 0
62.50    9.24865 0
62.60    9.25478 0
62.70    9.26066 0
62.80    9.26628 0
62.90    9.27165 0
63.00    9.27677 0
63.10    9.28165 0
63.20    9.28628 0
63.30    9.29068 0
63.40    9.29484 0
63.50    9.29876 0
63.60    9.30245 0
63.70    9.30591 0
63.80    9.30915 0
63.90    9.31216 0
64.00    9.31495 0
64.10    9.31752 0
64.20    9.31988 0
64.30    9.32202 0
64.40    9.32395 0
64.50    9.32568 0
64.60    9.3272 0
64.70    9.32851 0
64.80    9.32962 0
64.90    9.33054 0
65.00    9.33126 0
65.10    9.33178 0
65.20    9.33211 0
65.30    9.33226 0
65.40    9.33221 0
65.50    9.33198 0
65.60    9.33157 0
65.70    9.33098 0
65.80    9.33021 0
65.90    9.32926 0
66.00    9.32814 0
66.10    9.32684 0
66.20    9.32538 0
66.30    9.32375 0
66.40    9.32195 0
66.50    9.31999 0
66.60    9.31786 0
66.70    9.31558 0
66.80    9.31314 0
66.90    9.31054 0
67.00    9.30779 0
67.10    9.30489 0
67.20    9.30183 0
67.30    9.29863 0
67.40    9.29528 0
67.50    9.29179 0
67.60    9.28815 0
67.70    9.28437 0
67.80    9.28046 0
67.90    9.2764 0
68.00    9.27221 0
68.10    9.26788 0
68.20    9.26342 0
68.30    9.25883 0
68.40    9.25411 0
68.50    9.24927 0
68.60    9.2443 0
68.70    9.2392 0
68.80    9.23398 0
68.90    9.22864 0
69.00    9.22318 0
69.10    9.2176 0
69.20    9.2119 0
69.30    9.20609 0
69.40    9.20016 0
69.50    9.19413 0
69.60    9.18798 0
69.70    9.18172 0
69.80    9.17536 0
69.90    9.16889 0
70.00    9.16231 0
70.10    9.15563 0
70.20    9.14885 0
70.30    9.14196 0
70.40    9.13498 0
70.50    9.1279 0
70.60    9.12072 0
70.70    9.11344 0
70.80    9.10608 0
70.90    9.09861 0
71.00    9.09106 0
71.10    9.08342 0
71.20    9.07568 0
71.30    9.06786 0
71.40    9.05995 0
71.50    9.05196 0
71.60    9.04388 0
71.70    9.03571 0
71.80    9.02747 0
71.90    9.01914 0
72.00    9.01074 0
72.10    9.00225 0
72.20    8.99396 1
72.30    8.98655 1
72.40    8.98004 1
72.50    8.97442 1
72.60    8.96969 1
72.70    8.96583 1
72.80    8.96283 1
72.90    8.96068 1
73.00    8.95937 1
73.10    8.9589 1
73.20    8.95925 1
73.30    8.9604 1
73.40    8.96236 1
73.50    8.96512 1
73.60    8.96865 1
73.70    8.97296 1
73.80    8.97804 1
73.90    8.98387 1
74.00    8.99044 1
74.10    8.99775 1
74.20    9.00554 0
74.30    9.0131 0
74.40    9.02038 0
74.50    9.0274 0
74.60    9.03416 0
74.70    9.04066 0
74.80    9.0469 0
74.90    9.05289 0
75.00    9.05862 0
75.10    9.06411 0
75.20    9.06935 0
75.30    9.07435 0
75.40    9.0791 0
75.50    9.08362 0
75.60    9.08791 0
75.70    9.09196 0
75.80    9.09579 0
75.90    9.09939 0
76.00    9.10276 0
76.10    9.10592 0
76.20    9.10885 0
76.30    9.11157 0
76.40    9.11408 0
76.50    9.11637 0
76.60    9.11846 0
76.70    9.12034 0
76.80    9.12201 0
76.90    9.12349 0
77.00    9.12476 0
77.10    9.12584 0
77.20    9.12672 0
77.30    9.12742 0
77.40    9.12792 0
77.50    9.12824 0
77.60    9.12837 0
77.70    9.12831 0
77.80    9.12808 0
77.90    9.12767 0
78.00    9.12708 0
78.10    9.12631 0
78.20    9.12538 0
78.30    9.12427 0
78.40    9.123 0
78.50    9.12156 0
78.60    9.11995 0
78.70    9.11819 0
78.80    9.11626 0
78.90    9.11417 0
79.00    9.11193 0
79.10    9.10954 0
79.20    9.10699 0
79.30    9.10429 0
79.40    9.10144 0
79.50    9.09845 0
79.60    9.09531 0
79.70    9.09202 0
79.80    9.0886 0
79.90    9.08503 0
80.00    9.08133 0
80.10    9.07749 0
80.20    9.07352 0
80.30    9.06941 0
80.40    9.06517 0
80.50    9.0608 0
80.60    9.05631 0
80.70    9.05169 0
80.80    9.04694 0
80.90    9.04207 0
81.00    9.03708 0
81.10    9.03196 0
81.20    9.02673 0
81.30    9.02139 0
81.40    9.01592 0
81.50    9.01035 0
81.60    9.00466 0
81.70    8.99887 1
81.80    8.99365 1
81.90    8.98931 1
82.00    8.98584 1
82.10    8.98322 1
82.20    8.98145 1
82.30    8.98052 1
82.40    8.98041 1
82.50    8.98112 1
82.60    8.98264 1
82.70    8.98495 1
82.80    8.98806 1
82.90    8.99194 1
83.00    8.99659 1
83.10    9.00193 0
83.20    9.00724 0
83.30    9.01231 0
83.40    9.01714 0
83.50    9.02173 0
83.60    9.02609 0
83.70    9.03022 0
83.80    9.03412 0
83.90    9.03779 0
84.00    9.04124 0
84.10    9.04447 0
84.20    9.04748 0
84.30    9.05027 0
84.40    9.05285 0
84.50    9.05522 0
84.60    9.05738 0
84.70    9.05934 0
84.80    9.06109 0
84.90    9.06264 0
85.00    9.06399 0
85.10    9.06515 0
85.20    9.06611 0
85.30    9.06688 0
85.40    9.06746 0
85.50    9.06786 0
85.60    9.06807 0
85.70    9.06809 0
85.80    9.06794 0
85.90    9.06761 0
86.00    9.0671 0
86.10    9.06641 0
86.20    9.06556 0
86.30    9.06453 0
86.40    9.06334 0
86.50    9.06198 0
86.60    9.06046 0
86.70    9.05877 0
86.80    9.05693 0
86.90    9.05492 0
87.00    9.05276 0
87.10    9.05045 0
87.20    9.04798 0
87.30    9.04537 0
87.40    9.0426 0
87.50    9.03969 0
87.60    9.03663 0
87.70    9.03343 0
87.80    9.03009 0
87.90    9.02661 0
88.00    9.02299 0
88.10    9.01924 0
88.20    9.01535 0
88.30    9.01132 0
88.40    9.00717 0
88.50    9.00289 0
88.60    8.99853 1
88.70    8.99483 1
88.80    8.99199 1
88.90    8.99 1
89.00    8.98885 1
89.10    8.98853 1
89.20    8.98902 1
89.30    8.99033 1
89.40    8.99243 1
89.50    8.99533 1
89.60    8.99901 1
89.70    9.00316 0
89.80    9.00712 0
89.90    9.01086 0
90.00    9.01436 0
90.10    9.01765 0
90.20    9.02072 0
90.30    9.02357 0
90.40    9.02621 0
90.50    9.02864 0
90.60    9.03086 0
90.70    9.03288 0
90.80    9.03469 0
90.90    9.0363 0
91.00    9.03771 0
91.10    9.03892 0
91.20    9.03994 0
91.30    9.04077 0
91.40    9.04141 0
91.50    9.04186 0
91.60    9.04213 0
91.70    9.04221 0
91.80    9.04211 0
91.90    9.04184 0
92.00    9.04138 0
92.10    9.04076 0
92.20    9.03996 0
92.30    9.03899 0
92.40    9.03785 0
92.50    9.03655 0
92.60    9.03508 0
92.70    9.03345 0
92.80    9.03166 0
92.90    9.02971 0
93.00    9.02761 0
93.10    9.02535 0
93.20    9.02294 0
93.30    9.02037 0
93.40    9.01766 0
93.50    9.0148 0
93.60    9.0118 0
93.70    9.00866 0
93.80    9.00537 0
93.90    9.00194 0
94.00    8.99848 1
94.10    8.99572 1
94.20    8.99381 1
94.30    8.99274 1
94.40    8.9925 1
94.50    8.99307 1
94.60    8.99446 1
94.70    8.99664 1
94.80    8.99961 1
94.90    9.00297 0
95.00    9.00612 0
95.10    9.00905 0
95.20    9.01177 0
95.30    9.01427 0
95.40    9.01657 0
95.50    9.01866 0
95.60    9.02054 0
95.70    9.02223 0
95.80    9.02371 0
95.90    9.025 0
96.00    9.02609 0
96.10    9.02699 0
96.20    9.0277 0
96.30    9.02822 0
96.40    9.02856 0
96.50    9.02871 0
96.60    9.02869 0
96.70    9.02848 0
96.80    9.02809 0
96.90    9.02753 0
97.00    9.0268 0
97.10    9.0259 0
97.20    9.02483 0
97.30    9.02359 0
97.40    9.02218 0
97.50    9.02062 0
97.60    9.01889 0
97.70    9.01701 0
97.80    9.01496 0
97.90    9.01277 0
98.00    9.01042 0
98.10    9.00792 0
98.20    9.00527 0
98.30    9.00247 0
98.40    8.99954 1
98.50    8.99711 1
98.60    8.99552 1
98.70    8.99476 1
98.80    8.99483 1
98.90    8.99572 1
99.00    8.99741 1
99.10    8.99989 1
99.20    9.0027 0
99.30    9.0053 0
99.40    9.00768 0
99.50    9.00986 0
99.60    9.01183 0
99.70    9.01361 0
99.80    9.01518 0
99.90    9.01655 0
100.00   9.01773 0
100.10   9.01871 0
100.20   9.0195 0
100.30   9.02011 0
100.40   9.02052 0
100.50   9.02076 0
100.60   9.02081 0
100.70   9.02068 0
100.80   9.02037 0
100.90   9.01989 0
101.00   9.01923 0
101.10   9.0184 0
101.20   9.01741 0
101.30   9.01624 0
101.40   9.01491 0
101.50   9.01342 0
101.60   9.01177 0
101.70   9.00995 0
101.80   9.00798 0
101.90   9.00585 0
102.00   9.00357 0
102.10   9.00114 0
102.20   8.99871 1
102.30   8.99702 1
102.40   8.99617 1
102.50   8.99615 1
102.60   8.99694 1
102.70   8.99853 1
102.80   9.00086 0
102.90   9.0032 0
103.00   9.00532 0
103.10   9.00725 0
103.20   9.00897 0
103.30   9.01049 0
103.40   9.01181 0
103.50   9.01294 0
103.60   9.01388 0
103.70   9.01463 0
103.80   9.01518 0
103.90   9.01556 0
104.00   9.01575 0
104.10   9.01575 0
104.20   9.01558 0
104.30   9.01523 0
104.40   9.01471 0
104.50   9.01401 0
104.60   9.01314 0
104.70   9.0121 0
104.80   9.0109 0
104.90   9.00953 0
105.00   9.008 0
105.10   9.00631 0
105.20   9.00446 0
105.30   9.00245 0
105.40   9.00028 0
105.50   8.99835 1
105.60   8.99724 1
105.70   8.99697 1
105.80   8.99751 1
105.90   8.99886 1
106.00   9.00092 0
106.10   9.00294 0
106.20   9.00475 0
106.30   9.00637 0
106.40   9.00779 0
106.50   9.00901 0
106.60   9.01004 0
106.70   9.01088 0
106.80   9.01153 0
106.90   9.01199 0
107.00   9.01227 0
107.10   9.01237 0
107.20   9.01228 0
107.30   9.01202 0
107.40   9.01158 0
107.50   9.01096 0
107.60   9.01018 0
107.70   9.00922 0
107.80   9.0081 0
107.90   9.00681 0
108.00   9.00536 0
108.10   9.00374 0
108.20   9.00197 0
108.30   9.00004 0
108.40   8.99843 1
108.50   8.99766 1
108.60   8.99771 1
108.70   8.99857 1
108.80   9.00023 0
108.90   9.00208 0
109.00   9.00373 0
109.10   9.00518 0
109.20   9.00643 0
109.30   9.00749 0
109.40   9.00836 0
109.50   9.00903 0
109.60   9.00952 0
109.70   9.00983 0
109.80   9.00995 0
109.90   9.00989 0
110.00   9.00966 0
110.10   9.00924 0
110.20   9.00866 0
110.30   9.0079 0
110.40   9.00697 0
110.50   9.00587 0
110.60   9.00461 0
110.70   9.00318 0
110.80   9.00159 0
110.90   8.99985 1
111.00   8.99852 1
111.10   8.99803 1
111.20   8.99836 1
111.30   8.9995 1
111.40   9.00119 0
111.50   9.00274 0
111.60   9.00408 0
111.70   9.00524 0
111.80   9.00619 0
111.90   9.00696 0
112.00   9.00754 0
112.10   9.00794 0
112.20   9.00815 0
112.30   9.00818 0
112.40   9.00803 0
112.50   9.0077 0
112.60   9.00719 0
112.70   9.00652 0
112.80   9.00567 0
112.90   9.00465 0
113.00   9.00347 0
113.10   9.00212 0
113.20   9.00061 0
113.30   8.99913 1
113.40   8.99842 1
113.50   8.99853 1
113.60   8.99945 1
113.70   9.00098 0
113.80   9.00238 0
113.90   9.00359 0
114.00   9.0046 0
114.10   9.00543 0
114.20   9.00606 0
114.30   9.00651 0
114.40   9.00677 0
114.50   9.00685 0
114.60   9.00675 0
114.70   9.00647 0
114.80   9.00602 0
114.90   9.0054 0
115.00   9.0046 0
115.10   9.00363 0
115.20   9.00249 0
115.30   9.00119 0
115.40   8.99975 1
115.50   8.99879 1
115.60   8.99867 1
115.70   8.99936 1
115.80   9.00073 0
115.90   9.00203 0
116.00   9.00313 0
116.10   9.00404 0
116.20   9.00476 0
116.30   9.00529 0
116.40   9.00564 0
116.50   9.0058 0
116.60   9.00579 0
116.70   9.00559 0
116.80   9.00522 0
116.90   9.00467 0
117.00   9.00395 0
117.10   9.00306 0
117.20   9.002 0
117.30   9.00078 0
117.40   8.99948 1
117.50   8.99885 1
117.60   8.99904 1
117.70   9.00004 0
117.80   9.00132 0
117.90   9.0024 0
118.00   9.0033 0
118.10   9.004 0
118.20   9.00452 0
118.30   9.00485 0
118.40   9.00499 0
118.50   9.00496 0
118.60   9.00475 0
118.70   9.00436 0
118.80   9.0038 0
118.90   9.00306 0
119.00   9.00215 0
119.10   9.00108 0
119.20   8.99985 1
119.30   8.99906 1
119.40   8.9991 1
119.50   8.99996 1
119.60   9.00115 0
119.70   9.00215 0
119.80   9.00296 0
119.90   9.00359 0
120.00   9.00402 0
#
# SIMLIB run-time statistics:
#    StartTime  = 0
#    EndTime    = 120
#    EventCount = 1201
#    StepCount  = 1317
#    MinStep    = 1e-06
#    MaxStep    = 0.1
#
